Modelo / Kernel,Exactitud,Precisión,Exhaustividad,Puntuación F1,Vectores de Soporte,Proporción VS (%),Tiempo (seg)
Linear_C0.1,0.66,0.5952,1.0,0.7463,150,100.0,1.3963
Poly_Inhomo_C0.1,1.0,1.0,1.0,1.0,11,7.3333,3.1485
Poly_Homo_C0.1,1.0,1.0,1.0,1.0,11,7.3333,2.6135
RBF_C0.1,1.0,1.0,1.0,1.0,107,71.3333,3.8622
Sigmoid_C0.1,0.5,0.5,1.0,0.6667,150,100.0,0.3902
Linear_C1.0,0.7067,0.6303,1.0,0.7732,147,98.0,5.0265
Poly_Inhomo_C1.0,1.0,1.0,1.0,1.0,5,3.3333,2.7491
Poly_Homo_C1.0,1.0,1.0,1.0,1.0,4,2.6667,2.3428
RBF_C1.0,1.0,1.0,1.0,1.0,38,25.3333,5.2613
Sigmoid_C1.0,0.5,0.5,1.0,0.6667,150,100.0,0.3222
Linear_C10.0,0.7067,0.6303,1.0,0.7732,147,98.0,11.5198
Poly_Inhomo_C10.0,1.0,1.0,1.0,1.0,5,3.3333,2.5765
Poly_Homo_C10.0,1.0,1.0,1.0,1.0,4,2.6667,2.1225
RBF_C10.0,1.0,1.0,1.0,1.0,19,12.6667,3.8536
Sigmoid_C10.0,0.7133,0.6356,1.0,0.7772,148,98.6667,1.5671
